facility,latitude,longitude,keph_level,county,subcounty,ward,facility_status,facility_type,facility_owner
Kamoko Health Centre,-0.5224757,36.9094583,Level 3,Nyeri,Nyeri South,Mahiga,open,Health Center,Government/Public Entity
Kamukabi Medical Clinic,-0.7846689,36.8687275,Level 2,Muranga,Kigumo,Kangari,open,Medical Clinic,Private
Kamumo Medical Clinic,-0.4948838,37.3509378,Level 2,Kirinyaga,Kirinyaga East,Baragwi,open,Medical Clinic,Private
Baraka Gatuya Medical Clinic (MURANGA),-0.7404806,36.9659584,Level 2,Muranga,NA,MUGOIRI,open,Medical Clinic,Private
Kamweti Dispensary,-0.414261,37.3139424,Level 2,Kirinyaga,Kirinyaga East,Kabare,open,Dispensary,Government/Public Entity
Kanderendu Dispensary,-0.7843076,36.8157104,Level 2,Muranga,Kigumo,Kangari,open,Dispensary,Government/Public Entity
Kandongu Dispensary,-0.6658147,37.2946626,Level 2,Kirinyaga,Kirinyaga North/Mwea West,Mutithi,open,Dispensary,Government/Public Entity
Kangaita Health Centre,-0.4249819,37.272005,Level 3,Kirinyaga,Kirinyaga Central,Inoi,open,Health Center,Government/Public Entity
Kangari Health Centre,-0.7847204,36.8675565,Level 3,Muranga,Kigumo,Kangari,open,Health Center,Government/Public Entity
Kangaru Dispensary (Kirinyaga),-0.6357023,37.2448116,Level 2,Kirinyaga,Kirinyaga West,Kiine,open,Dispensary,Government/Public Entity
Kangema Medical Clinic,-0.6870855,36.9721736,Level 2,Muranga,Kangema,Muguru,open,Medical Clinic,Private
Kangu Dispensary,-0.5707909,37.356616,Level 2,Kirinyaga,Kirinyaga South,Nyangati,open,Dispensary,Government/Public Entity
Kanjama Dispensary,-0.6187435,36.9502553,Level 2,Muranga,Mathioya,Kiru,open,Dispensary,Government/Public Entity
Kanjuiri Dispensary,-0.3620579,36.2842291,Level 2,Nyandarua,Olkalou,Kanjuiri Range,open,Medical Center,Government/Public Entity
Kanyenyaini Health Centre,-0.68678,36.8925317,Level 3,Muranga,Kangema,Kanyenya-ini,open,Health Center,Government/Public Entity
Karaba Health Centre (Nyeri South),-0.6272642,37.1061206,Level 3,Nyeri,Mukurweini,Gikondi,open,Health Center,Government/Public Entity
Karangatha Health Centre,-0.771171,36.6470098,Level 3,Nyandarua,Kinangop,Nyakio,open,Health Center,Government/Public Entity
Karangi Dispensary,-0.8309673,36.7985771,Level 2,Muranga,Gatanga,Kariara,open,Health Center,Government/Public Entity
Karangia Medical Clinic,-0.4972852,36.9039261,Level 2,Nyeri,Tetu,Wamagana,open,Medical Clinic,Private
Karatina Catholic Dispensary,-0.4819655,37.1218295,Level 2,Nyeri,Mathira East,Karatina Town,open,Dispensary,Faith Based
Karatu level 4 hospital,-0.9454644,36.8272656,Level 3,Kiambu,Gatundu South,Ndarugu,open,Hospital,Government/Public Entity
Karemeno Health Centre,-0.1414829,36.7714188,Level 3,Nyeri,Kieni West,Mugunda,open,Health Center,Government/Public Entity
Karia Health Centre,-1.1033917,36.8194387,Level 3,Kiambu,Githunguri,Ikinu,open,Health Center,Government/Public Entity
Kariko Dispensary (Nyeri South),-0.5769282,36.8806442,Level 2,Nyeri,Nyeri South,Chinga,open,Dispensary,Government/Public Entity
Karima Dispensary (Nyeri South),-0.5196858,36.9799162,Level 2,Nyeri,Nyeri South,Karima,open,Dispensary,Government/Public Entity
Karirana Estate Limited Medical Clinic,-1.0882942,36.69586,Level 2,Kiambu,Limuru,Limuru East,open,Medical Clinic,Private
Kariti Dispensary,-0.8685005,37.0177923,Level 2,Muranga,Kandara,Kagundu-ini,open,Dispensary,Government/Public Entity
Kariua Dispensary,-0.8330612,36.9764772,Level 2,Muranga,Kandara,Gaichanjiru,open,Dispensary,Government/Public Entity
Karumandi Health Centre,-0.4478276,37.34941,Level 3,Kirinyaga,Kirinyaga East,Karumandi,open,Health Center,Government/Public Entity
Karundu Dispensary,-0.5746205,37.0937543,Level 2,Nyeri,Mukurweini,Rugi,open,Dispensary,Government/Public Entity
Karure Medical Clinic,-0.9726207,36.9293087,Level 2,Kiambu,Gatundu North,Mang'u,open,Medical Clinic,Private
Kasuku Health Centre,-0.1345747,36.3777812,Level 3,Nyandarua,Oljoroorok,Weru,open,Health Center,Government/Public Entity
Kenton Dispensary,-0.8967282,36.5579397,Level 2,Nyandarua,Kinangop,Magumu,open,Dispensary,Government/Public Entity
Kenya Nut Company Clinic,-1.0495814,37.0966354,Level 2,Kiambu,Thika Town,Hospital,open,Dispensary,Private
Kenya Police College Dispensary,-0.3935689,37.0004493,Level 2,Nyeri,Nyeri Central,Kiganjo/Mathari,open,Dispensary,Government/Public Entity
Mary Immaculate Kerugoya Hospital,-0.4980185,37.2790824,Level 2,Kirinyaga,Kirinyaga Central,Kerugoya,open,Hospital,Faith Based
Kerugoya Medical Centre,-0.5029949,37.2788096,Level 2,Kirinyaga,Kirinyaga Central,Kerugoya,open,Medical Clinic,Private
Khilna Medical Clinic,-1.0358244,37.0762403,Level 2,Kiambu,Thika Town,Township,open,Medical Clinic,Private
Kiahuria Medical Clinic,-1.2219483,36.7173017,Level 2,Kiambu,Kabete,Kabete,open,Medical Clinic,Private
Kiairathe Dispensary,-0.6706921,36.9475537,Level 2,Muranga,Kangema,Muguru,open,Dispensary,Government/Public Entity
Kiairegi Clinic,-0.8547579,36.9061399,Level 2,Muranga,Gatanga,Kariara,open,Medical Clinic,Private
Kiamabara Health Centre,-0.5179301,37.1137345,Level 3,Nyeri,Mathira East,Konyu,open,Health Center,Government/Public Entity
Kiamanyeki Dispensary,-0.6980438,37.3807371,Level 2,Kirinyaga,Kirinyaga South,Tebere,open,Dispensary,Government/Public Entity
Kiamara Health Centre,-0.6982482,37.0655963,Level 3,Muranga,Kangema,Muguru,open,Health Center,Government/Public Entity
Diana Medical Clinic- Kieni East,-0.3590592,36.9990185,Level 2,Nyeri,Kieni East,Thegu River,open,Medical Clinic,Private
Kiamathaga Dispensary,-0.1555282,37.0873249,Level 2,Nyeri,Kieni East,Naromoru/Kiamathaga,open,Dispensary,Government/Public Entity
Kiambogo Dispensary (Nyandarua South),-0.3920458,36.5413011,Level 2,Nyandarua,Kipipiri,Geta,open,Dispensary,Private
Kiambogo Medical Clinic,-0.2022647,36.8171172,Level 2,Nyeri,Kieni West,Mugunda,open,Medical Clinic,Private
Kiambu Institute Of Science And Technology Dispensary,-1.1819815,36.8358007,Level 2,Kiambu,Kiambu Town,Township,open,Medical Clinic,Government/Public Entity
Kiamutugu Health Centre,-0.4682156,37.3908718,Level 3,Kirinyaga,Kirinyaga East,Ngariama,open,Health Center,Government/Public Entity
Kiamuya Dispensary,-0.5751317,36.959656,Level 2,Nyeri,Nyeri South,Chinga,open,Dispensary,Government/Public Entity
Kiamwathi Medical Clinic,-0.4479728,36.9602639,Level 2,Nyeri,Nyeri Central,Ruring'u,open,Medical Center,Private
Kiandere Dispensary,-0.454008,36.9075153,Level 2,Nyeri,Tetu,Dedan Kimathi,open,Dispensary,Government/Public Entity
Kiandu Medical Clinic,-0.4906383,36.9696603,Level 2,Nyeri,Tetu,Wamagana,open,Medical Clinic,Private
Kiang'ombe Dispensary,-0.4677817,37.2998728,Level 2,Kirinyaga,Kirinyaga East,Kabare,open,Dispensary,Government/Public Entity
Kiangai Health Centre,-0.4779948,37.1791006,Level 3,Kirinyaga,Kirinyaga West,Kiine,open,Health Center,Government/Public Entity
Kiangai Medical Clinic,-0.4802083,37.1767762,Level 2,Kirinyaga,Kirinyaga West,Kiine,open,Medical Center,Private
Kiangochi Dispensary,-0.7626458,37.127891,Level 2,Muranga,Kiharu,Mbiri,open,Dispensary,Government/Public Entity
Kiangunyi Dispensary,-0.6947179,36.9902912,Level 2,Muranga,Kangema,Muguru,open,Dispensary,Faith Based
Kianjege Dispensary,-0.5744083,37.165575,Level 2,Kirinyaga,Kirinyaga West,Kariti,open,Dispensary,Government/Public Entity
Kianyaga Catholic Health Centre,-0.4909851,37.3566952,Level 3,Kirinyaga,Kirinyaga East,Baragwi,open,Health Center,Faith Based
Kiaragana Dispensary,-0.4978381,37.1966024,Level 2,Kirinyaga,Kirinyaga West,Mukure,open,Dispensary,Government/Public Entity
Leben Medical Service-Busibwabo (Busia),0.4066285,34.1994025,Level 3,Busia,NA,Busibwabo,open,Medical Center,Private
Kibirigwi Health Centre,-0.5263317,37.1796483,Level 3,Kirinyaga,Kirinyaga West,Kiine,open,Health Center,Government/Public Entity
Kiburu Dispensary,-0.5409895,37.2073478,Level 2,Kirinyaga,Kirinyaga West,Mukure,open,Dispensary,Government/Public Entity
Kibutha Dispensary,-0.6951239,36.9182611,Level 2,Muranga,Kangema,Kanyenya-ini,open,Dispensary,Government/Public Entity
Kibutha Medical Clinic,-0.6944657,36.9193474,Level 2,Muranga,Kangema,Kanyenya-ini,open,Medical Clinic,Private
Kiganjo Health centre,-0.9852779,36.8317654,Level 2,Kiambu,Gatundu South,Kiganjo,open,Health Center,Government/Public Entity
Kigetuini Dispensary,-0.6519224,37.1539086,Level 2,Muranga,Kiharu,Gaturi,open,Dispensary,Government/Public Entity
Kigoro Health Centre,-0.8559381,36.8878388,Level 3,Muranga,Gatanga,Kariara,open,Health Center,Government/Public Entity
Kigumo Level 4 Hospital Githunguri,-1.292066,36.821946,Level 3,Kiambu,Githunguri,Komothai,open,Hospital,Government/Public Entity
Roge Medical Centre (MURANG'A),-0.740418,36.9655875,Level 2,Muranga,NA,MUGOIRI,open,Medical Clinic,Private
Kihinga Dispensary,-0.7446431,37.0547535,Level 2,Muranga,Kiharu,Mugoiri,open,Medical Clinic,Private
Kihoya Health Centre,-0.6534567,36.8961583,Level 3,Muranga,Kangema,Rwathia,open,Health Center,Government/Public Entity
Kihumbuini (PCEA) Dispensary,-0.9287784,36.9874567,Level 2,Muranga,Gatanga,Kihumbu-ini,open,Dispensary,Faith Based
Kihumbu-ini Community Dispensary,-0.9292103,36.9886985,Level 2,Muranga,Gatanga,Kihumbu-ini,open,Dispensary,Government/Public Entity
Kihuyo Dispensary,-0.384078,36.9059952,Level 2,Nyeri,Nyeri Central,Kiganjo/Mathari,open,Dispensary,Government/Public Entity
Akshar Nursing Home,-1.2491064,36.6634574,Level 3,Kiambu,Kikuyu,Kikuyu,open,Nursing Home,Private
Hope Medical Centre (Meru),0.0459918,37.6530145,Level 3,Meru,NA,Municipality,open,Medical Center,Private
Kimbimbi Medical Laboratory,-0.6197795,37.3661842,Level 2,Kirinyaga,Kirinyaga South,Nyangati,open,Stand-Alone service,Private
Kimende Orthodox Mission Health Centre,-0.9826359,36.6310201,Level 3,Kiambu,Lari,Kijabe,open,Health Center,Government/Public Entity
Kimunyu (PCEA) Dispensary,-1.0550803,36.9413073,Level 2,Kiambu,Gatundu South,Ngenda,open,Dispensary,Faith Based
Kinale Forest Dispensary,-0.9034534,36.6327936,Level 2,Kiambu,Lari,Kinale,open,Dispensary,Government/Public Entity
Kiria Health Centre,-0.7592517,37.0716854,Level 3,Muranga,Kiharu,Mugoiri,open,Health Center,Government/Public Entity
Kiria-ini Dispensary,-0.6020109,36.9522185,Level 2,Muranga,Mathioya,Kiru,open,Dispensary,Government/Public Entity
Kiriita Forest Dispensary,-0.9779141,36.6417433,Level 2,Kiambu,Lari,Kijabe,open,Dispensary,Government/Public Entity
Kirima Dispensary,-0.1941728,36.4848645,Level 2,Nyandarua,Ndaragwa,Shamata,open,Dispensary,Government/Public Entity
Kirimukuyu Medical Centre,-0.471692,37.0636278,Level 2,Nyeri,Mathira West,Kirimukuyu,open,Medical Center,Private
Kiriogo Dispensary,-0.1271608,36.6155383,Level 2,Nyandarua,Ndaragwa,Central,open,Dispensary,Government/Public Entity
Kirogo Dispensary,-0.6643297,37.3898494,Level 2,Kirinyaga,Kirinyaga South,Gathigiriri,open,Dispensary,Government/Public Entity
Kirogo Health Centre,-0.7145959,37.0302699,Level 3,Muranga,Kiharu,Wangu,open,Health Center,Government/Public Entity
Kiruri Dispensary (Muranga North),-0.6969217,36.8611383,Level 2,Muranga,Kangema,Kanyenya-ini,open,Dispensary,Government/Public Entity
Kirurumi Dispensary,-0.4393745,36.8544924,Level 2,Nyeri,Tetu,Dedan Kimathi,open,Dispensary,Government/Public Entity
Kiumbu Health Centre,-0.7181342,37.4669623,Level 3,Kirinyaga,Kirinyaga South,Tebere,open,Health Center,Government/Public Entity
Kiunyu Dispensary,-0.9553179,37.0145467,Level 2,Muranga,Gatanga,Kihumbu-ini,open,Dispensary,Government/Public Entity
Kiuu Dispensary,-0.6075917,37.1554395,Level 2,Nyeri,Mukurweini,Mukurwe-ini Central,open,Dispensary,Government/Public Entity
Kutus Catholic Dispensary,-0.5671557,37.3262109,Level 2,Kirinyaga,Kirinyaga South,Nyangati,open,Dispensary,Faith Based
Kwa Ng'ang'a Medicare,-0.8414189,37.1797615,Level 3,Muranga,muranga south,Kamahuha,open,Medical Center,Private
Lamuria Dispensary (Nyeri North),-0.1805296,36.8646672,Level 2,Nyeri,Kieni West,Mugunda,open,Dispensary,Government/Public Entity
Leshau Pondo Health Centre,0.0696433,36.4440111,Level 3,Nyandarua,Ndaragwa,Leshau/Pondo,open,Health Center,Government/Public Entity
Limuru Health Centre,-1.1109141,36.6413386,Level 3,Kiambu,Limuru,Limuru Central,open,Health Center,Government/Public Entity
Kavutiri Cfw (Embu),-0.416579,37.5031718,Level 2,Embu,NA,Gaturi north,open,Medical Clinic,Private
Lucimed Clinic,0.0349634,36.3636192,Level 2,Laikipia,Laikipia West,Igwamiti,open,Medical Center,Private
Mabroukie Medical Clinic,-1.1040802,36.6664705,Level 2,Kiambu,Limuru,Limuru East,open,Medical Clinic,Private
PCEA Mahiga Medical and Maternity Home,-0.5057663,36.9427507,Level 2,Nyeri,Nyeri South,Mahiga,open,Nursing Home,Faith Based
Maina & Mwangi Health Centre,-0.1193175,36.3424778,Level 3,Nyandarua,Oljoroorok,Weru,open,Health Center,Government/Public Entity
Maina Village Dispensary,0.0606656,36.3578511,Level 2,Laikipia,Laikipia West,Igwamiti,open,Dispensary,Government/Public Entity
Gaikuyu  Dispensary,-0.4108278,37.1264449,Level 2,Nyeri,Mathira East,Magutu,open,Dispensary,Government/Public Entity
Makuyu Health Centre,-0.8971063,37.1879552,Level 3,Muranga,muranga south,Makuyu,open,Health Center,Government/Public Entity
Mama Margaret Medical Clinic,-1.0224501,36.8390196,Level 2,Kiambu,Gatundu South,Kiamwangi,open,Medical Clinic,Private
Eagle Mission Medicare (Nairobi),-1.2643903,36.917209,Level 2,Nairobi,NA,Umoja 1,open,Medical Clinic,Private
Manesh Clinic,-0.4774849,37.2348507,Level 2,Kirinyaga,Kirinyaga Central,Kerugoya,open,Medical Clinic,Private
Manguo Medical Clinic,0.0232319,36.4087082,Level 2,Nyandarua,Ndaragwa,Kiritta,open,Medical Center,Private
Manunga Health Centre,-0.2886358,36.3761934,Level 3,Nyandarua,Kipipiri,Kipipiri,open,Health Center,Government/Public Entity
Maragua Ridge Health Centre,-0.7771071,37.2083711,Level 3,Muranga,muranga south,Kambiti,open,Health Center,Government/Public Entity
Maranjau Dispensary,-0.8018258,37.2239314,Level 2,Muranga,muranga south,Kambiti,open,Dispensary,Government/Public Entity
Mariira Catholic Dispensary,-0.7982633,36.9323417,Level 2,Muranga,Kigumo,Kangari,open,Dispensary,Government/Public Entity
Kijabe (AIC) Hospital Marira Medical Clinic,-1.0330118,36.6222112,Level 2,Kiambu,Lari,Lari/Kirenga,open,Medical Center,Private
Marua Dispensary,-0.4548008,37.0451825,Level 2,Nyeri,Nyeri Central,Gatitu/Muruguru,open,Dispensary,Government/Public Entity
Masa Medical Clinic (Nyeri North),-0.4826523,37.1245678,Level 2,Nyeri,Mathira East,Karatina Town,open,Medical Clinic,Private
Mataara Dispensary,-0.8653013,36.8044759,Level 2,Kiambu,Gatundu North,Gituamba,open,Dispensary,Government/Public Entity
Matharite Dispensary,-0.708051,36.9088073,Level 2,Muranga,Kiharu,Murarandia,open,Dispensary,Government/Public Entity
Mathingira Medical Clinic,-0.5487893,36.9437351,Level 2,Nyeri,Nyeri South,Iria-ini,open,Medical Clinic,Private
Matura Medical Care,-0.4263622,36.9551647,Level 2,Nyeri,Nyeri Central,Rware,open,Medical Center,Private
Mayos Medical Clinic,-0.5499042,36.9455049,Level 2,Nyeri,Nyeri South,Iria-ini,open,Medical Clinic,Private
Mbici Dispensary,-0.9622454,36.8795864,Level 2,Kiambu,Gatundu North,Mang'u,open,Dispensary,Government/Public Entity
Naivasha Medical Clinic (Nakuru),-0.7179389,36.4352188,Level 2,Nakuru,NA,Viwandani,open,Medical Clinic,Private
Mchana Estate Dispensary,-1.1133969,36.8881274,Level 2,Kiambu,Ruiru,Gitothua,open,Dispensary,Private
Leo ! Medical Clinic (Mombasa),-4.0300708,39.6849109,Level 2,Mombasa,NA,Magogoni,open,Medical Clinic,Private
Mere Dispensary,-0.2386415,37.1268976,Level 2,Nyeri,Kieni East,Kabaru,open,Dispensary,Government/Public Entity
Word Of Faith Church Dispensary (Mombasa),-3.9973442,39.6187936,Level 2,Mombasa,NA,Jomvu Kuu,open,Dispensary,Faith Based
Miguta Community Dispensary,-1.292066,36.821946,Level 2,Kiambu,Githunguri,Ngewa,open,Dispensary,Government/Public Entity
Mihang'o Dispensary,-0.8625538,37.2150257,Level 2,Muranga,muranga south,Kambiti,open,Dispensary,Government/Public Entity
Mihuti Dispensary (Muranga North),-0.6630666,36.9593493,Level 2,Muranga,Mathioya,Gitugi,open,Dispensary,Faith Based
Mihuti Dispensary (Nyeri South),-0.5647612,37.0788739,Level 2,Nyeri,Mukurweini,Rugi,open,Dispensary,Government/Public Entity
Mikaro Dispensary,-0.4831907,36.5499238,Level 2,Nyandarua,Kinangop,Murungaru,open,Dispensary,Government/Public Entity
Mirangine Health Centre,-0.1774049,36.2439209,Level 3,Nyandarua,Olkalou,Mirangine,open,Health Center,Government/Public Entity
Mitubiri Health Centre,-1.027189,37.1543172,Level 3,Muranga,Gatanga,Kakuzi/Mitubiri,open,Health Center,Government/Public Entity
Yalatani Dispensary (Kitui),-1.1864438,38.0443423,Level 2,Kitui,NA,Mutongoni,open,Dispensary,Government/Public Entity
Mt Sinai Nursing Home,-1.0524717,37.0980638,Level 3,Kiambu,Thika Town,Kamenu,open,Nursing Home,Private
Mt Kenya Narumoru Medical Clinic,-0.18824,37.0570852,Level 2,Nyeri,Kieni East,Naromoru/Kiamathaga,open,Medical Clinic,Private
Mugeka Dispensary,-0.6423608,37.092294,Level 2,Muranga,Kiharu,Gaturi,open,Dispensary,Government/Public Entity
Mugoiri Dispensary,-0.7510608,37.0288584,Level 2,Muranga,Kiharu,Mugoiri,open,Dispensary,Faith Based
Mugumoini Dispensary,-0.8503861,37.0786521,Level 2,Muranga,Kigumo,Kahumbu,open,Dispensary,Government/Public Entity
Mugunda Dispensary,-0.1638027,36.7012711,Level 2,Nyeri,Kieni West,Mugunda,open,Dispensary,Government/Public Entity
Mukarara Community Dispensary,-0.9089891,36.9432786,Level 2,Muranga,Gatanga,Kihumbu-ini,open,Dispensary,Government/Public Entity
Mukoe Dispensary,-0.8554343,36.9779668,Level 2,Muranga,Kandara,Ithiru,open,Dispensary,Government/Public Entity
Mukeu (AIC) Dispensary,-0.7823829,36.6327857,Level 2,Nyandarua,Kinangop,Nyakio,open,Health Center,Faith Based
Mukindu Dispensary,-0.2040416,36.4258732,Level 2,Nyandarua,Olkalou,Rurii,open,Dispensary,Government/Public Entity
Vivace Cosmetics & Laser Clinics Ltd (Nairobi),-1.2622883,36.822401,Level 2,Nairobi,NA,Parklands,open,Medical Clinic,Private
Mukungi Dispensary,-0.5266293,36.5491185,Level 2,Nyandarua,Kinangop,Murungaru,open,Dispensary,Government/Public Entity
Mukuria Dispensary,-0.8103228,36.9270295,Level 2,Muranga,Kandara,Ruchu,open,Dispensary,Government/Public Entity
Mukurwe Dispensary,-0.8961575,36.9553282,Level 2,Muranga,Gatanga,Kihumbu-ini,open,Dispensary,Government/Public Entity
Mumbuini Dispensary,-0.606575,37.4612838,Level 2,Kirinyaga,Kirinyaga South,Murinduko,open,Dispensary,Government/Public Entity
Mundoro Medical Clinic,-0.9509059,36.7639716,Level 2,Kiambu,Gatundu South,Kiganjo,open,Medical Clinic,Private
Mununga Dispensary,-0.7419169,36.8649589,Level 2,Muranga,Kigumo,Kinyona,open,Dispensary,Government/Public Entity
Munyu Health Centre,-1.1146842,37.1689809,Level 3,Kiambu,Thika Town,Gatuanyaga,open,Health Center,Government/Public Entity
Munyu-ini Dispensary,-0.9448085,36.7842851,Level 2,Kiambu,Gatundu South,Ndarugu,open,Dispensary,Government/Public Entity
Murarandia Dispensary,-0.7306365,36.9284814,Level 2,Muranga,Kiharu,Murarandia,open,Dispensary,Government/Public Entity
Mureru Dispensary,-0.1247069,37.0298348,Level 2,Nyeri,Kieni East,Gakawa,open,Dispensary,Government/Public Entity
Murinduko Health Centre,-0.5757592,37.4415623,Level 3,Kirinyaga,Kirinyaga South,Murinduko,open,Health Center,Government/Public Entity
Muruguru Medical Clinic (Nyeri North),-0.3270413,36.9055084,Level 2,Nyeri,Kieni West,Mweiga,open,Medical Clinic,Private
Muruka Dispensary,-0.9304616,37.0608999,Level 2,Muranga,Kandara,Muruka,open,Health Center,Government/Public Entity
Murungaru Health Centre,-0.5841728,36.4923692,Level 3,Nyandarua,Kinangop,Murungaru,open,Health Center,Government/Public Entity
