"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".matched_county",".county_match"
"Kotunga Dispensary",-0.0618955,34.8125224,"Level 2","Kisumu","Kisumu East","Kajulu","open","Dispensary","Government/Public Entity",6631,"Kisumu",TRUE
"Chamunga Dispensary",-0.2789224,37.6932554,"Level 2","Tharaka Nithi","Muthambi","Muthambi","open","Dispensary","Government/Public Entity",6632,"Tharaka Nithi",TRUE
"Kiaga Dispensary",-0.5979753,37.2667234,"Level 2","Kirinyaga","Kirinyaga Central","Kanyekini","open","Dispensary","Government/Public Entity",6633,"Kirinyaga",TRUE
"By-Faith Medical Clinic",-0.9840102,36.5839274,"Level 2","Nakuru","Naivasha","Mai Mahiu","open","Medical Clinic","Private",6634,"Nakuru",TRUE
"Blessed Medicare Centre",-1.3139577,36.8885386,"Level 2","Nairobi","Embakasi South","Kware","open","Medical Center","Private",6635,"Nairobi",TRUE
"Osarai Dispensary",-1.8358794,37.1026887,"Level 2","Kajiado","Kajiado East","Imaroro","open","Dispensary","Government/Public Entity",6636,"Kajiado",TRUE
"Kericho Women's Clinic",-0.350835,35.2809067,"Level 2","Kericho","Ainamoi","Kipchebor","open","Medical Clinic","Private",6637,"Kericho",TRUE
"Vinkmed Health Care Clinic",0.5079022,35.2573819,"Level 2","Uasin Gishu","Kapseret","Kipkenyo","open","Medical Clinic","Private",6638,"Uasin Gishu",TRUE
"Care Medical Clinic",-0.2662947,36.108174,"Level 2","Nakuru","Nakuru North","Kiamaina","open","Medical Clinic","Private",6639,"Nakuru",TRUE
"Mewa Drop In Centre",-4.0270901,39.6863413,"Level 2","Mombasa","Kisauni","Magogoni","open","Medical Center","Faith Based",6640,"Mombasa",TRUE
"Swalihat Medical Clinic",-4.0287502,39.6854322,"Level 2","Mombasa","Nyali","Frere Town","open","Medical Clinic","Private",6641,"Mombasa",TRUE
"Mwasang'ombe Dispenasry",-1.9879844,37.5034483,"Level 2","Makueni","Kibwezi West","Emali/Mulala","open","Dispensary","Government/Public Entity",6642,"Makueni",TRUE
"Matiku Dispensary",-2.01744,37.4633363,"Level 2","Makueni","Kibwezi West","Emali/Mulala","open","Dispensary","Government/Public Entity",6643,"Makueni",TRUE
"Burudisha Medical Clinic",-3.5273631,39.8480497,"Level 2","Kilifi","Kilifi North","Tezo","open","Medical Clinic","Private",6644,"Kilifi",TRUE
"Noor Foundation Clinic (Vipingo)",-3.8595939,39.7890909,"Level 2","Kilifi","Kilifi South","Mtepeni","open","Medical Clinic","Private",6645,"Kilifi",TRUE
"Romkan Medical Centre",-1.0917072,37.0232145,"Level 2","Kiambu","Juja","Juja","open","Medical Center","Private",6646,"Kiambu",TRUE
"Parkistan Medical Centre (Mombasa)",-4.0602795,39.6658273,"Level 2","Mombasa",NA,"Majengo","open","Medical Center","Private",6647,"Mombasa",TRUE
"Gathehu Dispensary",-0.4257219,37.14783,"Level 2","Nyeri","Mathira East","Magutu","open","Dispensary","Government/Public Entity",6648,"Nyeri",TRUE
"Chesra Dispensary",1.4498959,35.1302223,"Level 2","West Pokot","KIPKOMO","Chepareria","open","Dispensary","Government/Public Entity",6649,"West Pokot",TRUE
"Kapkaremba Dispensary",1.3154766,35.3634541,"Level 2","West Pokot","KIPKOMO","Batei","open","Dispensary","Government/Public Entity",6650,"West Pokot",TRUE
"GOD'S Favour CNS",-0.4758613,36.931744,"Level 2","Nyeri","Tetu","Wamagana","open","Medical Clinic","Private",6651,"Nyeri",TRUE
"Sheywe Dispensary",0.4782113,34.7733997,"Level 2","Kakamega","Malava","Shirungu-mugai","open","Dispensary","Government/Public Entity",6652,"Kakamega",TRUE
"Mbuvori Prime Health Providers",-0.3903789,37.4660214,"Level 2","Embu","Manyatta","Nginda","open","Medical Clinic","Private",6653,"Embu",TRUE
"Kitanga Dispensary",-1.5091047,37.187854,"Level 2","Machakos","Machakos","Mua","open","Dispensary","Government/Public Entity",6654,"Machakos",TRUE
"Kyanzasu Dispensary",-1.5429404,37.3450829,"Level 2","Machakos","Kalama","Kalama","open","Dispensary","Government/Public Entity",6655,"Machakos",TRUE
"Makanyanga Dispensary",-0.3764067,37.8011183,"Level 2","Tharaka Nithi","Igambangombe","Igambang'ombe","open","Dispensary","Government/Public Entity",6656,"Tharaka Nithi",TRUE
"Aic Kajiado Dispensary (Kajiado)",-1.8311331,36.8061271,"Level 2","Kajiado",NA,"Dalalekutok","open","Dispensary","Private",6657,"Kajiado",TRUE
"Madzo Madzo Medical Centre (Kilifi)",-3.9402356,39.6420629,"Level 2","Kilifi",NA,"Mwawesa","open","Medical Center","Private",6658,"Kilifi",TRUE
"Scan Lab Kitengela Limited",-1.4730539,36.9679198,"Level 2","Kajiado","Kajiado East","Kaputiei North","open","Medical Center","Private",6659,"Kajiado",TRUE
"Mwaimwai Community Dispensary",0.8136664,34.6779733,"Level 2","Bungoma","Mt Elgon","Elgon","open","Dispensary","Government/Public Entity",6660,"Bungoma",TRUE
"Kitabisi Dispensary",0.6433214,34.4122124,"Level 2","Bungoma","Bumula","Kimaeti","open","Dispensary","Government/Public Entity",6661,"Bungoma",TRUE
"Busa dispensary",-4.1257859,39.0716546,"Level 2","Kwale","Kinango","Puma","open","Dispensary","Government/Public Entity",6662,"Kwale",TRUE
"Dumbule dispensary",-4.1195693,39.3688518,"Level 2","Kwale","Kinango","Kinango","open","Dispensary","Government/Public Entity",6663,"Kwale",TRUE
"Gozani Dispensary",-4.057581,39.0417839,"Level 2","Kwale","Kinango","Puma","open","Dispensary","Government/Public Entity",6664,"Kwale",TRUE
"Maji Ya Chumvi Dispensary",-3.7592469,39.3631118,"Level 2","Kwale","Kinango","Chengoni/Samburu","open","Dispensary","Government/Public Entity",6665,"Kwale",TRUE
"Gulanze Dispensary",-4.2007142,39.2007442,"Level 2","Kwale","Kinango","Ndavaya","open","Dispensary","Government/Public Entity",6666,"Kwale",TRUE
"Rukindu Dispensary",-0.3277407,37.6795218,"Level 2","Tharaka Nithi","Chuka","Karingani","open","Dispensary","Government/Public Entity",6667,"Tharaka Nithi",TRUE
"Eluanata Dispensary",-2.4550857,36.9110512,"Level 2","Kajiado","Kajiado Central","Matapato South","open","Health Center","Government/Public Entity",6668,"Kajiado",TRUE
"Gaceuni dispensary",-0.0374748,38.2017045,"Level 2","Tharaka Nithi","Tharaka North","Gatunga","open","Dispensary","Government/Public Entity",6669,"Tharaka Nithi",TRUE
"Kahuhia Girls High School Dispensary",-0.7099178,37.0423025,"Level 2","Muranga","Kiharu","Wangu","open","Dispensary","Private",6670,"Muranga",TRUE
"Chepterit Dispensary",0.9037218,35.3555539,"Level 2","Uasin Gishu","Soy","Segeroi/Barsombe","open","Dispensary","Government/Public Entity",6671,"Uasin Gishu",TRUE
"Segero Central Dispensary",0.9041983,35.261665,"Level 2","Uasin Gishu","Soy","Segeroi/Barsombe","open","Dispensary","Government/Public Entity",6672,"Uasin Gishu",TRUE
"Chobosta Dispensary",0.6705142,35.2683807,"Level 2","Uasin Gishu","Soy","Soy","open","Dispensary","Government/Public Entity",6673,"Uasin Gishu",TRUE
"Ilatu Medical Clinic (Makueni)",-2.3564794,37.8514064,"Level 2","Makueni",NA,"Nguumo","open","Medical Clinic","Private",6674,"Makueni",TRUE
"Oredho Health Centre",-0.4987253,34.7747641,"Level 3","Homa Bay","Rachuonyo South","East Kamagak","open","Health Center","Government/Public Entity",6675,"Homa Bay",TRUE
"Kimurgoi Dispensary",0.8347361,35.1968909,"Level 2","Uasin Gishu","Soy","Ziwa","open","Dispensary","Government/Public Entity",6676,"Uasin Gishu",TRUE
"Holy Rosary Health Centre",1.0094039,35.101144,"Level 3","Trans Nzoia","Cherangany","Kaplamai","open","Health Center","Faith Based",6677,"Trans Nzoia",TRUE
"Survivors Organization Clinic",0.4510269,34.1412328,"Level 2","Busia","Teso South","Ang'orom","open","other","Non-Governmental Organization",6678,"Busia",TRUE
"Marathi Dispensary",-0.0093918,37.6094356,"Level 2","Meru","Imenti Central","Abothuguchi West","open","Dispensary","Government/Public Entity",6679,"Meru",TRUE
"GEDMED MEDICAL CENTER AND NURSING HOME",0.0591926,34.2838927,"Level 3","Siaya","Alego Usonga","Siaya Township","open","Health Center","Private",6680,"Siaya",TRUE
"Kinjo Dispensary",0.0021417,37.62859,"Level 2","Meru","Imenti Central","Abothuguchi West","open","Dispensary","Government/Public Entity",6681,"Meru",TRUE
"Kamayech Dispensary",1.2934997,35.0226337,"Level 2","West Pokot","West Pokot","Riwo","open","Dispensary","Government/Public Entity",6682,"West Pokot",TRUE
"AAR Health Care Ruaka",-1.2048723,36.7777799,"Level 2","Kiambu","Kiambaa","Ndenderu","open","Medical Center","Private",6683,"Kiambu",TRUE
"Imani Medical Clinic Gachie",-1.2206631,36.7779129,"Level 2","Kiambu","Kiambaa","Kihara","open","Medical Clinic","Private",6684,"Kiambu",TRUE
"Njogu-ini Medical services",-1.4573644,36.9883807,"Level 2","Machakos","Athi River","Athi River","open","Medical Clinic","Private",6685,"Machakos",TRUE
"Dima Mwangaza Clinic",-4.2561477,39.520361,"Level 2","Kwale","Matuga","Tsimba Golini","open","Medical Clinic","Faith Based",6686,"Kwale",TRUE
"Kwale Medicare Clinic",-4.1739791,39.4518528,"Level 2","Kwale","Matuga","Tsimba Golini","open","Medical Clinic","Private",6687,"Kwale",TRUE
"Galaxy Medicare Consultants Ltd",-1.0386603,37.0772276,"Level 2","Kiambu","Thika Town","Township","open","Medical Center","Private",6688,"Kiambu",TRUE
"Lifesprings Health Care",-1.2827299,37.2814098,"Level 2","Machakos","Matungulu","Matungulu West","open","Medical Center","Private",6689,"Machakos",TRUE
"ABRAR HEALTH SERVICES-BANISA",3.9404128,41.8548392,"Level 2","Mandera","Banissa","Banissa","open","Nursing Home","Private",6690,"Mandera",TRUE
"Korinyang Dispensary",2.24903,35.432795,"Level 2","Turkana","Turkana South","Katilu","open","Dispensary","Government/Public Entity",6691,"Turkana",TRUE
"Annex loc.Medical clinic",0.2725437,36.5335248,"Level 2","Laikipia","Laikipia West","Rumuruti Township","open","Nursing Home","Private",6692,"Laikipia",TRUE
"Chebukutumi Dispensary",0.7163609,34.4818951,"Level 2","Bungoma","Sirisia","Malakisi/South Kulisiru","open","Dispensary","Government/Public Entity",6693,"Bungoma",TRUE
"Kayuyu Dispensary",-0.7469222,37.2476789,"Level 2","Muranga","Kiharu","Mbiri","open","Dispensary","Government/Public Entity",6694,"Muranga",TRUE
"Mofa Afya Medical Centre",-1.265343,36.9220823,"Level 2","Nairobi","Embakasi Central","Kayole North","open","Medical Clinic","Private",6695,"Nairobi",TRUE
"Cosmos Medical Clinic",-1.2079462,36.9569803,"Level 2","Kiambu","Ruiru","Mwihoko","open","Medical Clinic","Private",6696,"Kiambu",TRUE
"St Francis Health Services",-1.1912948,36.9316667,"Level 2","Kiambu","Ruiru","Kahawa/Sukari","open","Medical Center","Private",6697,"Kiambu",TRUE
"Kenya Airways Pride Clinic",-1.3134443,36.9178587,"Level 2","Nairobi","Embakasi East","Embakasi","open","Medical Clinic","Private",6698,"Nairobi",TRUE
"St James Medical Centre and Health Services",-1.0731411,37.0968861,"Level 2","Kiambu","Thika Town","Kamenu","open","Medical Clinic","Private",6699,"Kiambu",TRUE
"Musumaa Dispensary",-0.9696061,37.6565711,"Level 2","Machakos","Masinga","Masinga Central","open","Dispensary","Government/Public Entity",6700,"Machakos",TRUE
"Galana Dental Centre Llp (Nairobi)",-1.2913279,36.7829514,"Level 2","Nairobi",NA,"Dagoretti","open","Medical Center","Private",6701,"Nairobi",TRUE
"Mikeu Dispensary",-0.3819909,36.5605089,"Level 2","Nyandarua","Kipipiri","Geta","open","Dispensary","Private",6702,"Nyandarua",TRUE
"Kiburuti Dispensary",-0.3037817,36.449119,"Level 2","Nyandarua","Kipipiri","Wanjohi","open","Dispensary","Government/Public Entity",6703,"Nyandarua",TRUE
"Hope Cure Medical Clinic",-0.3352925,37.6465555,"Level 2","Tharaka Nithi","Chuka","Karingani","open","Medical Clinic","Private",6704,"Tharaka Nithi",TRUE
"Jakaba Medical clinic",-3.8604619,39.4779389,"Level 3","Kilifi","Kaloleni","Mariakani","open","Medical Clinic","Private",6705,"Kilifi",TRUE
"Nyangori Dispensary (Masaba North)",-0.7031081,34.9150482,"Level 2","Nyamira","Masaba North","Gachuba","open","Dispensary","Government/Public Entity",6706,"Nyamira",TRUE
"Hope Eastwards Medical Services (Kikuyu)",-1.2168417,36.6554067,"Level 2","Kiambu","Kikuyu","Sigona","open","Medical Clinic","Private",6707,"Kiambu",TRUE
"Alliance community medical centre",-0.9098936,34.5301034,"Level 2","Migori","Awendo","South Sakwa","open","Medical Clinic","Private",6708,"Migori",TRUE
"Smile Medical Clinic",-0.1988703,36.8220731,"Level 2","Nyeri","Kieni West","Mugunda","open","Medical Clinic","Private",6709,"Nyeri",TRUE
"Nairutia Medical Clinic",-0.1409365,36.7110564,"Level 2","Nyeri","Kieni West","Mugunda","open","Medical Clinic","Private",6710,"Nyeri",TRUE
"Shiraz Dispensary",-4.5293596,39.4206375,"Level 2","Kwale","Msambweni","Ramisi","open","Dispensary","Government/Public Entity",6711,"Kwale",TRUE
"Medigold",-1.3177801,36.8965292,"Level 2","Nairobi","Embakasi East","Embakasi","open","Health Center","Private",6712,"Nairobi",TRUE
"Paalex Ultrasound (NAIROBI)",-1.2687754,36.7192569,"Level 2","Nairobi",NA,"Uthiru","open","Stand-Alone service","Private",6713,"Nairobi",TRUE
"Naramat Medical and Dental Clinic",-1.0949352,35.8618593,"Level 2","Narok","Narok North","Narok Town","open","Medical Clinic","Private",6714,"Narok",TRUE
"South Lake Medical Centre (Nakuru)",-0.7742673,36.4290368,"Level 2","Nakuru",NA,"Hell's gate","open","Medical Clinic","Private",6715,"Nakuru",TRUE
"Munje Dispensary",-4.5114779,39.4579213,"Level 2","Kwale","Msambweni","Ramisi","open","Dispensary","Government/Public Entity",6716,"Kwale",TRUE
"Alwalidayn Dispensary",-4.3607572,39.5308474,"Level 2","Kwale","Msambweni","Kinondo","open","Dispensary","Faith Based",6717,"Kwale",TRUE
"Gazi Dispensary",-4.4246974,39.5075733,"Level 2","Kwale","Msambweni","Kinondo","open","Dispensary","Government/Public Entity",6718,"Kwale",TRUE
"Saimamed Medical Laboratory (Nairobi)",-1.2622356,36.9201733,"Level 2","Nairobi",NA,"Kayole North","open","Stand-Alone service","Private",6719,"Nairobi",TRUE
"Nyatalio Dispensary",2.7330271,40.6310469,"Level 2","Mandera","Mandera South","Kutulo","open","Dispensary","Government/Public Entity",6720,"Mandera",TRUE
"Dunga GOK Dispensary",-0.1435983,34.7385526,"Level 2","Kisumu","Kisumu Central","Nyalenda B","open","Dispensary","Government/Public Entity",6721,"Kisumu",TRUE
"Galilee Hospital",1.0044466,35.0117206,"Level 3","Trans Nzoia","Kiminini","Hospital","open","Hospital","Private",6722,"Trans Nzoia",TRUE
"Saniak Dispensary",0.3450133,35.080828,"Level 2","Nandi","Chesumei","Kaptel/Kamoiywo","open","Dispensary","Government/Public Entity",6723,"Nandi",TRUE
"Lopuski Dispensary",3.8582751,34.8211296,"Level 2","Turkana","Turkana West","Lopur","open","Dispensary","Government/Public Entity",6724,"Turkana",TRUE
"JOYRIDE MEDICAL CENTRE",-0.6098158,34.8899986,"Level 2","Nyamira","Nyamira","Bosamaro","open","Medical Center","Private",6725,"Nyamira",TRUE
"Kapserton Dispensary",0.4856958,35.1601436,"Level 2","Uasin Gishu","Kapseret","Simat/Kapseret","open","Dispensary","Government/Public Entity",6726,"Uasin Gishu",TRUE
"Kisharu Dispensary",-1.1213525,36.3520136,"Level 2","Kajiado","Kajiado West","Ewuaso Oo Nkidong'i","open","Dispensary","Government/Public Entity",6727,"Kajiado",TRUE
"Pongwe Dispensary",-4.2149598,39.5849847,"Level 2","Kwale","Matuga","Tiwi","open","Dispensary","Government/Public Entity",6728,"Kwale",TRUE
"Kitale Hospital",0.9992517,35.0141804,"Level 2","Trans Nzoia","Kiminini","Hospital","open","Hospital","Private",6729,"Trans Nzoia",TRUE
"Pure Medical Clinic (Muranga)",-0.9744858,36.9852797,"Level 2","Muranga",NA,"Mugumoini","open","Dispensary","Private",6730,"Muranga",TRUE
"WESPRAM MEDICAL CENTRE",0.0549067,34.3040121,"Level 2","Siaya","Alego Usonga","Siaya Township","open","Medical Center","Private",6731,"Siaya",TRUE
"OBER OGUNGA DISPENSARY",0.0743176,34.3073075,"Level 2","Siaya","Alego Usonga","North Alego","open","Dispensary","Government/Public Entity",6732,"Siaya",TRUE
"Marie Stopes Clinic (Ongata Rongai)",-1.3964515,36.7485808,"Level 2","Kajiado","Kajiado North","Nkaimurunya","open","Medical Clinic","Non-Governmental Organization",6733,"Kajiado",TRUE
"Kelonget Dispensary",-0.9010862,35.0413663,"Level 2","Narok","Transmara East","Ololmasani","open","Dispensary","Government/Public Entity",6734,"Narok",TRUE
"Equity Afia Clinic (Buruburu)",-1.2940398,36.8759066,"Level 2","Nairobi","Makadara","Maringo/Hamza","open","Medical Clinic","Private",6735,"Nairobi",TRUE
"Ziwa La Ng'ombe Health Centre",-4.0273933,39.6989275,"Level 3","Mombasa","Nyali","Ziwa La Ng'ombe","open","Health Center","Government/Public Entity",6736,"Mombasa",TRUE
"Lamara Medical Clinic",-1.0949558,35.8619475,"Level 2","Narok","Narok North","Narok Town","open","Medical Clinic","Private",6737,"Narok",TRUE
"Magacha Dispensary",-1.0389694,34.2783224,"Level 2","Migori","Suna West","Wiga","open","Dispensary","Government/Public Entity",6738,"Migori",TRUE
"Oruba Dispensary",-1.065907,34.4678955,"Level 2","Migori","Suna West","Ragana-oruba","open","Dispensary","Government/Public Entity",6739,"Migori",TRUE
"ELWAK COTTAGE NURSING HOME",2.8083832,40.9301262,"Level 3","Mandera","Mandera South","Elwak South","open","Nursing Home","Private",6740,"Mandera",TRUE
"Ndiine dispensary",0.0821986,37.7104855,"Level 2","Meru","Imenti North","Nyaki East","open","Dispensary","Government/Public Entity",6741,"Meru",TRUE
"Hope for Widows & Children Foundation Nursing Home",-0.1201752,34.7609695,"Level 2","Kisumu","Kisumu Central","Nyalenda B","open","Nursing Home","Private",6742,"Kisumu",TRUE
"Nyamagongwi Dispensary",-1.2588377,34.6841455,"Level 2","Migori","Kuria East","Nyabasi East","open","Dispensary","Government/Public Entity",6743,"Migori",TRUE
"Maeta Dispensary",-1.2185958,34.6562345,"Level 2","Migori","Kuria East","Nyabasi West","open","Dispensary","Government/Public Entity",6744,"Migori",TRUE
"Umoja Gift Medical Clinic (Kwale)",-4.3237511,39.5562349,"Level 2","Kwale",NA,"Ukunda","open","Medical Clinic","Private",6745,"Kwale",TRUE
"Nyaroha Dispensary",-1.2970508,34.5982275,"Level 2","Migori","Kuria East","Nyabasi West","open","Dispensary","Government/Public Entity",6746,"Migori",TRUE
"Kyeeko Dispensary",-1.980417,37.5514456,"Level 2","Makueni","Makueni","Nzaui/Kilili/Kalamba","open","Dispensary","Government/Public Entity",6747,"Makueni",TRUE
"Pala Health Centre",-0.3559849,34.5451919,"Level 2","Homa Bay","Karachuonyo","North Karachuonyo","open","Health Center","Government/Public Entity",6748,"Homa Bay",TRUE
"Mulenyu dispensary",-1.947995,37.6236117,"Level 2","Makueni","Makueni","Nzaui/Kilili/Kalamba","open","Dispensary","Government/Public Entity",6749,"Makueni",TRUE
"St. Peters Medical Centre Bulwani",0.3405283,34.351052,"Level 2","Busia","Butula","Elugulu","open","Medical Clinic","Private",6750,"Busia",TRUE
"Riogachi Dispensary",-0.9186143,34.7095388,"Level 2","Kisii","Bomachoge Borabu","Magenche","open","Dispensary","Government/Public Entity",6751,"Kisii",TRUE
"Baraka Med Clinic (Uasin Gishu)",0.2932997,35.3265679,"Level 2","Uasin Gishu",NA,"Kesses","open","Medical Clinic","Private",6752,"Uasin Gishu",TRUE
"Kiango Dispensary",-0.9293882,34.7888434,"Level 2","Kisii","Bomachoge Borabu","Bombaba Borabu","open","Dispensary","Government/Public Entity",6753,"Kisii",TRUE
"Sugubo Dispensary",-0.9171453,34.8900329,"Level 2","Kisii","Bobasi","Nyacheki","open","Dispensary","Government/Public Entity",6754,"Kisii",TRUE
"Kimbimbi Medical Centre",-0.619806,37.3664254,"Level 2","Kirinyaga","Kirinyaga South","Nyangati","open","Medical Center","Private",6755,"Kirinyaga",TRUE
"Ndumberi Clinical Services",-1.1518644,36.8048756,"Level 2","Kiambu","Kiambu Town","Ndumberi","open","Medical Clinic","Private",6756,"Kiambu",TRUE
